name,timestamp,confidence,emotion,liveness
zilus,2025-11-22T01:17:22.210831,0.622,Neutral,Real
zilus,2025-11-22T01:27:39.766679,0.716,Neutral,Real
zilus,2025-11-22T01:34:55.330838,0.729,Neutral,Real
test,2025-12-29T21:17:42.961981,0.4039,Unknown,Real
hisu,2025-12-31T09:48:25.294561,0.7174,Unknown,Real
test,2025-12-31T15:06:57.314821,0.5573,Unknown,Real
test,2026-01-06T17:09:56.255189,0.5809,Unknown,Real
test,2026-01-07T09:44:36.465652,0.7161,Unknown,Real
hisu,2026-01-07T09:47:42.889720,0.4905,Unknown,Real
hisu,2026-01-14T10:48:42.431316,0.7474,Unknown,Real
test,2026-01-14T23:26:32.642240,0.5634,Unknown,Real
test,2026-01-15T10:12:10.208667,0.6280,Unknown,Real
test,2026-01-15T13:31:21.505320,0.6862,Unknown,Real
test,2026-01-15T14:35:02.893245,0.6997,Unknown,Real
test,2026-01-17T13:24:25.433795,0.8660,Unknown,Real
